             Measure  Pearson: Best  Spearman: Best  Pearson: Mean5  Spearman: Mean5  Pearson: MeanAll  Spearman: MeanAll
0            DCoL_N4          -0.80           -0.48           -0.74            -0.46             -0.65              -0.40
1            DCoL_N3           0.10            0.49            0.10             0.46              0.08               0.44
2            DCoL_L1          -0.73           -0.52           -0.66            -0.49             -0.57              -0.44
3         Smoothness           0.33            0.52            0.29             0.50              0.25               0.47
4           DCoL_F1v           0.41            0.49            0.35             0.46              0.28               0.44
5            DCoL_N1           0.56           -0.01            0.48            -0.03              0.38              -0.08
6            DCoL_T1           0.66           -0.11            0.58            -0.12              0.47              -0.17
7            DCoL_F4           0.74            0.30            0.68             0.30              0.60               0.31
8            DCoL_T2          -0.83           -0.75           -0.83            -0.75             -0.81              -0.76
9   Strong Convexity          -0.82           -0.63           -0.78            -0.63             -0.73              -0.64
10           DCoL_L3          -0.87           -0.75           -0.86            -0.76             -0.84              -0.76
11           DCoL_F2          -0.59           -0.36           -0.51            -0.32             -0.41              -0.26
12           DCoL_F3          -0.09           -0.06           -0.09            -0.08             -0.09              -0.10
13               CSG          -0.66           -0.13           -0.59            -0.10             -0.49              -0.06
14           DCoL_N2           0.30            0.52            0.29             0.51              0.29               0.50
15           DCoL_F1          -0.06            0.15           -0.05             0.15             -0.03               0.14
16           DCoL_L2          -0.04           -0.06           -0.02            -0.03              0.01              -0.00
