Dataset,Link,Simple/Complex,Reference to claim,Notes
uci:optdigits,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:climate-sim,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:cancer,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:image,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:hand,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:biodegrade,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:crowdsource,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:credit-default,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:autism,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:bankrupt,Dataset_Complexity,Simple,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:contraceptive,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:pendigits,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:car,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:hepmass,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:kddcup,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:waveform,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:cardiotocography,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:electric-stable,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:liver,Dataset_Complexity,Simple,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:satellite,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:credit-approval,Dataset_Complexity,Simple,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:shop-intention,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:covtype,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:drug-consumption,Dataset_Complexity,Simple,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:adult,Dataset_Complexity,Complex,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:blood-transfusion,Dataset_Complexity,Simple,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
uci:cervical-cancer,Dataset_Complexity,Simple,"Simpler hyperparameter optimization for software analytics: Why, how, when?",
